cliente_id,tienda_id,producto_id,fecha,sku_cliente,unidades,importe,archivo_origen
1,56,2,2025-01-05,7500462417819,17,322.69,sellout-heb.xlsx
1,56,2,2025-01-09,7500462417819,1,16.26,sellout-heb.xlsx
1,56,2,2025-01-12,7500462417819,2,37.96,sellout-heb.xlsx
1,56,2,2025-01-13,7500462417819,1,18.98,sellout-heb.xlsx
1,56,2,2025-01-14,7500462417819,4,75.93,sellout-heb.xlsx
1,56,2,2025-01-20,7500462417819,1,18.98,sellout-heb.xlsx
1,56,2,2025-01-21,7500462417819,21,398.61,sellout-heb.xlsx
1,56,3,2025-01-03,7500462417826,4,75.93,sellout-heb.xlsx
1,56,3,2025-01-05,7500462417826,16,301.4,sellout-heb.xlsx
1,56,3,2025-01-09,7500462417826,1,16.26,sellout-heb.xlsx
1,56,3,2025-01-10,7500462417826,30,569.44,sellout-heb.xlsx
1,56,3,2025-01-12,7500462417826,6,113.89,sellout-heb.xlsx
1,56,3,2025-01-13,7500462417826,1,18.98,sellout-heb.xlsx
1,56,3,2025-01-14,7500462417826,4,75.93,sellout-heb.xlsx
1,56,3,2025-01-15,7500462417826,45,263.73,sellout-heb.xlsx
1,56,3,2025-01-19,7500462417826,2,37.96,sellout-heb.xlsx
1,56,3,2025-01-20,7500462417826,1,18.98,sellout-heb.xlsx
1,56,3,2025-01-21,7500462417826,2,37.96,sellout-heb.xlsx
1,56,4,2025-01-03,7500462417833,2,31.52,sellout-heb.xlsx
1,56,4,2025-01-05,7500462417833,30,569.44,sellout-heb.xlsx
1,56,4,2025-01-06,7500462417833,6,101.72,sellout-heb.xlsx
1,56,4,2025-01-08,7500462417833,2,35.05,sellout-heb.xlsx
1,56,4,2025-01-10,7500462417833,4,75.93,sellout-heb.xlsx
1,56,4,2025-01-15,7500462417833,2,18.43,sellout-heb.xlsx
1,56,4,2025-01-18,7500462417833,25,298.21,sellout-heb.xlsx
1,56,4,2025-01-20,7500462417833,8,114.81,sellout-heb.xlsx
1,56,4,2025-01-21,7500462417833,25,474.54,sellout-heb.xlsx
1,56,5,2025-01-08,7500462860004,1,33.45,sellout-heb.xlsx
1,56,5,2025-01-13,7500462860004,1,37.04,sellout-heb.xlsx
1,56,5,2025-01-14,7500462860004,6,222.22,sellout-heb.xlsx
1,56,5,2025-01-15,7500462860004,2,55.05,sellout-heb.xlsx
1,56,5,2025-01-17,7500462860004,1,37.04,sellout-heb.xlsx
1,56,5,2025-01-20,7500462860004,4,98.71,sellout-heb.xlsx
1,56,5,2025-01-21,7500462860004,1,37.04,sellout-heb.xlsx
1,2,2,2025-01-05,7500462417819,1,18.43,sellout-heb.xlsx
1,2,2,2025-01-07,7500462417819,1,18.43,sellout-heb.xlsx
1,2,2,2025-01-21,7500462417819,1,18.43,sellout-heb.xlsx
1,2,3,2025-01-05,7500462417826,1,18.43,sellout-heb.xlsx
1,2,3,2025-01-07,7500462417826,2,36.85,sellout-heb.xlsx
1,2,3,2025-01-12,7500462417826,1,18.43,sellout-heb.xlsx
1,2,3,2025-01-13,7500462417826,1,18.43,sellout-heb.xlsx
1,2,3,2025-01-20,7500462417826,1,18.43,sellout-heb.xlsx
1,2,3,2025-01-21,7500462417826,1,18.43,sellout-heb.xlsx
1,2,4,2025-01-19,7500462417833,4,73.7,sellout-heb.xlsx
1,2,5,2025-01-04,7500462860004,2,72.04,sellout-heb.xlsx
1,2,5,2025-01-20,7500462860004,1,36.02,sellout-heb.xlsx
1,2,8,2025-01-04,7500462860042,3,62.5,sellout-heb.xlsx
1,2,8,2025-01-06,7500462860042,1,20.83,sellout-heb.xlsx
1,2,8,2025-01-12,7500462860042,3,62.5,sellout-heb.xlsx
1,2,8,2025-01-13,7500462860042,1,20.83,sellout-heb.xlsx
1,2,8,2025-01-18,7500462860042,3,62.5,sellout-heb.xlsx
1,2,8,2025-01-19,7500462860042,4,83.33,sellout-heb.xlsx
1,2,10,2025-01-03,7503028921003,1,36.02,sellout-heb.xlsx
1,2,11,2025-01-01,7503028921010,1,36.02,sellout-heb.xlsx
1,2,11,2025-01-04,7503028921010,1,36.02,sellout-heb.xlsx
1,2,11,2025-01-06,7503028921010,1,36.02,sellout-heb.xlsx
1,2,11,2025-01-14,7503028921010,1,36.02,sellout-heb.xlsx
1,2,11,2025-01-19,7503028921010,1,36.02,sellout-heb.xlsx
1,2,11,2025-01-21,7503028921010,1,36.02,sellout-heb.xlsx
1,2,13,2025-01-04,7503028921317,5,249.5,sellout-heb.xlsx
1,3,2,2025-01-03,7500462417819,2,36.85,sellout-heb.xlsx
1,3,2,2025-01-15,7500462417819,3,55.28,sellout-heb.xlsx
1,3,3,2025-01-02,7500462417826,1,18.43,sellout-heb.xlsx
1,3,3,2025-01-05,7500462417826,1,18.43,sellout-heb.xlsx
1,3,3,2025-01-09,7500462417826,1,18.43,sellout-heb.xlsx
1,3,3,2025-01-11,7500462417826,1,18.43,sellout-heb.xlsx
1,3,3,2025-01-12,7500462417826,1,18.43,sellout-heb.xlsx
1,3,3,2025-01-13,7500462417826,2,36.85,sellout-heb.xlsx
1,3,3,2025-01-14,7500462417826,1,18.43,sellout-heb.xlsx
1,3,3,2025-01-15,7500462417826,2,36.85,sellout-heb.xlsx
1,3,3,2025-01-18,7500462417826,1,18.43,sellout-heb.xlsx
1,3,4,2025-01-10,7500462417833,1,18.43,sellout-heb.xlsx
1,3,4,2025-01-14,7500462417833,1,18.43,sellout-heb.xlsx
1,3,4,2025-01-15,7500462417833,4,73.7,sellout-heb.xlsx
1,3,5,2025-01-03,7500462860004,1,36.02,sellout-heb.xlsx
1,3,5,2025-01-04,7500462860004,1,36.02,sellout-heb.xlsx
1,3,5,2025-01-05,7500462860004,1,36.02,sellout-heb.xlsx
1,3,5,2025-01-10,7500462860004,1,36.02,sellout-heb.xlsx
1,3,5,2025-01-19,7500462860004,1,36.02,sellout-heb.xlsx
1,3,8,2025-01-10,7500462860042,1,20.83,sellout-heb.xlsx
1,3,8,2025-01-11,7500462860042,4,83.33,sellout-heb.xlsx
1,3,8,2025-01-17,7500462860042,5,104.17,sellout-heb.xlsx
1,3,8,2025-01-19,7500462860042,5,104.17,sellout-heb.xlsx
1,3,9,2025-01-02,7500462860066,1,18.43,sellout-heb.xlsx
1,3,9,2025-01-14,7500462860066,1,18.43,sellout-heb.xlsx
1,3,9,2025-01-15,7500462860066,3,55.28,sellout-heb.xlsx
1,3,9,2025-01-18,7500462860066,1,18.43,sellout-heb.xlsx
1,3,10,2025-01-01,7503028921003,1,36.02,sellout-heb.xlsx
1,3,10,2025-01-04,7503028921003,3,108.06,sellout-heb.xlsx
1,3,10,2025-01-11,7503028921003,1,36.02,sellout-heb.xlsx
1,3,10,2025-01-21,7503028921003,2,72.04,sellout-heb.xlsx
1,3,11,2025-01-17,7503028921010,1,36.02,sellout-heb.xlsx
1,3,12,2025-01-15,7503028921133,2,36.85,sellout-heb.xlsx
1,3,13,2025-01-03,7503028921317,1,49.9,sellout-heb.xlsx
1,3,13,2025-01-04,7503028921317,3,149.7,sellout-heb.xlsx
1,3,13,2025-01-11,7503028921317,6,299.4,sellout-heb.xlsx
1,3,13,2025-01-13,7503028921317,1,49.9,sellout-heb.xlsx
1,3,13,2025-01-15,7503028921317,1,49.9,sellout-heb.xlsx
1,3,13,2025-01-18,7503028921317,3,149.7,sellout-heb.xlsx
1,3,13,2025-01-19,7503028921317,1,49.9,sellout-heb.xlsx
1,3,13,2025-01-20,7503028921317,2,99.8,sellout-heb.xlsx
1,4,2,2025-01-19,7500462417819,12,77.78,sellout-heb.xlsx
1,4,2,2025-01-20,7500462417819,1,18.43,sellout-heb.xlsx
1,4,2,2025-01-21,7500462417819,6,38.89,sellout-heb.xlsx
1,4,3,2025-01-08,7500462417826,20,183.33,sellout-heb.xlsx
